,CVE_DOC,FECHA_ENT,FECHA_VEN,CAN_TOT
10470,F39886,2022-12-22 00:00:00,2023-02-08,7960.500000000001
10519,F39935,2023-01-17 00:00:00,2023-02-02,4427.6
10539,F39955,2023-01-13 00:00:00,2023-04-20,17372.82
10557,F39973,2023-01-23 00:00:00,2023-02-23,54970.0
10563,F39979,2023-01-23 00:00:00,2023-03-25,42600.0
10645,F40061,2023-02-02 00:00:00,2023-01-31,6520.950000000001
10656,F40072,2023-01-30 00:00:00,2023-03-04,2744.0
10682,F40098,2023-02-07 00:00:00,2023-03-09,17712.0
10685,F40101,2023-02-07 00:00:00,2023-03-10,3500.0000000000005
10740,F40156,2023-02-16 00:00:00,2023-03-18,16639.5
10785,F40201,2023-02-23 00:00:00,2023-03-24,5144.700000000001
10794,F40210,2023-02-15 00:00:00,2023-03-24,4692.650000000001
10810,F40226,2023-02-24 00:00:00,2023-03-26,2729.6400000000003
10821,F40237,2023-02-13 00:00:00,2023-02-24,10088.400000000001
10839,F40255,2023-02-28 00:00:00,2023-03-30,3467.35
10845,F40261,2023-03-03 00:00:00,2023-02-28,4663.8
10871,F40287,2023-02-27 00:00:00,2023-03-31,9000.0
10876,F40292,2023-03-01 00:00:00,2023-03-02,3262.0
