,5_change_store_space_last_year,frequency,percentage,cumulative_perc
0,No cambió,72,0.42105263157894735,0.42105263157894735
1,Sin registro,72,0.42105263157894735,0.8421052631578947
2,Disminuyó 15%,9,0.05263157894736842,0.894736842105263
3,Aumentó 25%,7,0.04093567251461988,0.935672514619883
4,Aumentó 15%,4,0.023391812865497075,0.9590643274853801
5,Aumentó 50% o más,4,0.023391812865497075,0.9824561403508771
6,Disminuyó 25%,2,0.011695906432748537,0.9941520467836257
