,6_change_employees_average_salary_last_year,frequency,percentage,cumulative_perc
0,Sin registro,86,0.5029239766081871,0.5029239766081872
1,No cambió,50,0.29239766081871343,0.7953216374269008
2,Aumentó 15%,14,0.08187134502923976,0.8771929824561405
3,Disminuyó 15%,5,0.029239766081871343,0.9064327485380119
4,Aumentó 25%,4,0.023391812865497075,0.929824561403509
5,Aumentó 50% o más,4,0.023391812865497075,0.9532163742690061
6,Disminuyó 25%,3,0.017543859649122806,0.9707602339181289
